architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,__do_global_dtors_aux,000105cc,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,XOR-CIPHER,clang,O1,xor_ARM_clang_O1.elf,xor_init,00010610,XOR-CIPHER,9,14,7,3,2,0.08196721311475409,6.777777777777778,2,9,0,0,0,0,61,0.0,0.07190924803404425,0,302,0.1253614752678482,0.014492753623188406,0.0826762962155792,0.002070393374741201,0.0,0.05534610103611465,0,0,0,12,32,52,0.06100217864923747,5.477942812516642,4.004859241013356,0.11475409836065574,43
ARM,XOR-CIPHER,clang,O1,xor_ARM_clang_O1.elf,xor_encrypt_block,00010710,XOR-CIPHER,16,23,9,6,2,0.08333333333333333,6.0,2,3,0,0,0,0,96,0.0,0.07155579583641643,0,408,0.09795620347364736,0.005655029187247418,0.06634505227274676,0.0023430873621713318,0.0,0.06355767928699768,0,0,76,13,44,95,0.1,5.6681236496186065,4.05624366286163,0.09375,50
ARM,XOR-CIPHER,clang,O1,xor_ARM_clang_O1.elf,xor_decrypt_block,000108a0,XOR-CIPHER,17,25,10,7,2,0.09473684210526316,5.588235294117647,2,3,0,0,0,0,95,0.0,0.07522704980185312,0,458,0.09666183327966049,0.005322380411526982,0.058523256129748916,0.0022052586938083123,0.0,0.06769941069651782,0,0,76,13,49,99,0.0903954802259887,5.4986802616195884,4.038231829554406,0.10526315789473684,53
ARM,XOR-CIPHER,clang,O1,xor_ARM_clang_O1.elf,xor_stream_encrypt,00010a2c,XOR-CIPHER,8,12,6,2,2,0.08695652173913043,5.75,2,5,0,0,0,0,46,0.0,0.05671395897236233,0,200,0.11311974893907667,0.007982246952835188,0.07033291487073,0.003205128205128205,0.0,0.04552658381439894,0,0,80,4,17,44,0.08517350157728706,5.166655536727563,3.993461831162228,0.13043478260869565,34
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,main,00010ae4,Non-Crypto,25,61,38,11,2,0.07954545454545454,10.56,1,26,0,0,0,0,264,0.0,0.06926066685641975,0,1107,0.10526026978337893,0.00913711322352304,0.053755974774671283,0.0027966236661888834,0.0,0.057326929966707824,0,0,416,32,109,195,0.06098964326812428,5.924719017996267,3.9818687928211913,0.14393939393939395,88
ARM,Non-Crypto,clang,O1,xor_ARM_clang_O1.elf,_fini,00010f50,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,_init,00010470,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0,0,0,2,0,6,0.21052631578947367,3.2516291673878226,3.010570934268484,0.6666666666666666,2
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,_start,00010514,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0,0,0,2,0,6,0.10869565217391304,4.644106550888952,2.3524566896399377,0.2,14
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,call_weak_fn,00010548,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,deregister_tm_clones,0001056c,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,register_tm_clones,00010598,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,__do_global_dtors_aux,000105cc,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,XOR-CIPHER,clang,O2,xor_ARM_clang_O2.elf,xor_init,00010610,XOR-CIPHER,9,14,7,3,2,0.08196721311475409,6.777777777777778,2,9,0,0,0,0,61,0.0,0.07190924803404425,0,302,0.1253614752678482,0.014492753623188406,0.0826762962155792,0.002070393374741201,0.0,0.05534610103611465,0,0,0,12,32,52,0.06100217864923747,5.486465678721449,4.004859241013356,0.11475409836065574,50
ARM,XOR-CIPHER,clang,O2,xor_ARM_clang_O2.elf,xor_encrypt_block,00010710,XOR-CIPHER,9,12,5,2,1,0.01593625498007968,27.88888888888889,2,3,0,0,0,0,251,0.0,0.06494154988127562,0,611,0.18544312822251507,0.020380637157731724,0.13832278567457362,0.007361990154711673,0.0,0.03719892256883223,0,0,124,42,47,231,0.18051575931232092,5.4511035230011995,3.808970570427842,0.0199203187250996,82
ARM,XOR-CIPHER,clang,O2,xor_ARM_clang_O2.elf,xor_decrypt_block,00010b48,XOR-CIPHER,13,18,7,4,2,0.015957446808510637,28.923076923076923,2,3,0,0,0,0,376,0.0,0.08242991718894103,0,1168,0.09565682989952676,0.016545624546220293,0.06386900040118741,0.006569652854892066,0.0,0.05931463978782868,0,0,160,49,107,323,0.12571428571428572,5.198771449614469,3.980652597973006,0.018617021276595744,81
ARM,XOR-CIPHER,clang,O2,xor_ARM_clang_O2.elf,xor_stream_encrypt,000111ac,XOR-CIPHER,8,12,6,2,2,0.08695652173913043,5.75,2,5,0,0,0,0,46,0.0,0.05671395897236233,0,200,0.11311974893907667,0.007982246952835188,0.07033291487073,0.003205128205128205,0.0,0.04552658381439894,0,0,80,4,17,44,0.08517350157728706,5.190288773388415,3.993461831162228,0.13043478260869565,37
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,main,00011264,Non-Crypto,11,89,80,4,2,0.010144927536231883,62.72727272727273,1,16,0,0,0,0,690,0.0,0.06737378864026886,0,1762,0.12546320926830387,0.005193744376207102,0.08320433292900323,0.008806401257546836,0.0,0.05337364300651492,0,0,408,122,225,426,0.11858463500159389,5.756139638873677,3.8379136485858028,0.11594202898550725,106
ARM,Non-Crypto,clang,O2,xor_ARM_clang_O2.elf,_fini,00011d70,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,_init,00010470,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0,0,0,2,0,6,0.21052631578947367,3.2516291673878226,3.010570934268484,0.6666666666666666,2
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,_start,00010514,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0,0,0,2,0,6,0.10869565217391304,4.644106550888952,2.3524566896399377,0.2,14
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,call_weak_fn,00010548,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,1,0,0,4,2,6,0.07272727272727272,4.5964393446710154,4.072738468960348,0.2,7
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,deregister_tm_clones,0001056c,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,register_tm_clones,00010598,Non-Crypto,4,5,3,0,0,0.125,4.0,2,5,0,0,0,0,16,0.0,0.23629032258064517,0,57,0.09435483870967742,0.2120967741935484,0.05,0.0,0.0,0.024193548387096774,1,0,0,7,6,12,0.012987012987012988,4.6534955617749425,3.7275283797403787,0.1875,13
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,__do_global_dtors_aux,000105cc,Non-Crypto,5,8,5,0,0,0.2,4.0,2,7,0,0,0,0,20,0.0,0.07191919191919191,0,30,0.2653832442067736,0.07191919191919191,0.14721330956625073,0.0,0.0,0.0,0,0,0,4,0,16,0.14035087719298245,4.680689288944334,3.145971326679435,0.25,17
ARM,XOR-CIPHER,clang,O3,xor_ARM_clang_O3.elf,xor_init,00010610,XOR-CIPHER,19,29,12,8,2,0.050761421319796954,10.368421052631579,2,21,0,0,0,0,197,0.0,0.09352333671916824,0,985,0.07681926145151857,0.019972592861521466,0.04664928624857678,0.007216213328267658,0.002405404442755886,0.06633453052937911,0,0,0,65,119,125,0.037815126050420166,5.310364246725402,3.941914241625097,0.06091370558375635,52
ARM,XOR-CIPHER,clang,O3,xor_ARM_clang_O3.elf,xor_encrypt_block,00010930,XOR-CIPHER,7,10,5,2,2,0.011627906976744186,49.142857142857146,2,3,0,0,0,0,344,0.0,0.0821138956980285,0,1019,0.2408981621178518,0.030227400075858803,0.2118404461291164,0.013900333351483144,0.0,0.03798616227068656,0,0,140,178,190,269,0.11358173076923077,5.551347644345775,3.752957450795059,0.014534883720930232,70
ARM,XOR-CIPHER,clang,O3,xor_ARM_clang_O3.elf,xor_decrypt_block,00010e9c,XOR-CIPHER,9,12,5,2,2,0.008695652173913044,51.111111111111114,2,3,0,0,0,0,460,0.0,0.06923461243286469,0,1392,0.1970368680533202,0.01822209566374551,0.16812816982290746,0.008025343070194464,0.0,0.04298717369892471,0,0,180,178,221,364,0.1141396933560477,5.674985207903434,3.9133775052996618,0.010869565217391304,91
ARM,XOR-CIPHER,clang,O3,xor_ARM_clang_O3.elf,xor_stream_encrypt,000115d8,XOR-CIPHER,8,12,6,2,2,0.08695652173913043,5.75,2,5,0,0,0,0,46,0.0,0.05671395897236233,0,200,0.11311974893907667,0.007982246952835188,0.07033291487073,0.003205128205128205,0.0,0.04552658381439894,0,0,80,4,17,44,0.08517350157728706,5.190288773388415,3.993461831162228,0.13043478260869565,37
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,main,00011690,Non-Crypto,1,121,122,0,0,0.001287001287001287,777.0,1,9,0,0,0,0,777,0.0,0.07022849462365591,0,1513,0.14079301075268819,0.005376344086021506,0.1310483870967742,0.031586021505376344,0.0,0.03326612903225806,0,0,440,110,193,419,0.1310483870967742,5.618483419764587,3.7005680489747155,0.15701415701415702,70
ARM,Non-Crypto,clang,O3,xor_ARM_clang_O3.elf,_fini,000122ec,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
