architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__floatundidf,00011dc4,Non-Crypto,2,2,2,0,0,0.0,3.0,1,3,0,0,0,0,6,0.0,0.07894736842105263,0,20,0.10714285714285714,0.07894736842105263,0.10714285714285714,0.0,0.0,0.0,False,False,False,False,0,0,0,3,0,3,0.09090909090909091,4.0,2.9725644574698293,0.3333333333333333,5
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__aeabi_l2d,00011dd4,Non-Crypto,5,7,4,0,0,0.07142857142857142,5.6,1,6,0,0,0,0,28,0.0,0.13870536556444873,0,184,0.09761500525507316,0.07385345083137952,0.03333333333333333,0.0,0.0,0.06485191473306923,False,False,False,False,0,0,0,18,20,22,0.012987012987012988,5.282853096879952,3.9462305681502423,0.14285714285714285,25
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__aeabi_uldivmod,00011e30,Non-Crypto,4,6,4,0,0,0.125,4.0,1,6,0,0,0,0,16,0.0,0.025,0,54,0.07083333333333333,0.025,0.041666666666666664,0.0,0.0,0.0,False,False,False,False,1,0,16,3,0,9,0.06756756756756757,4.720175521464343,3.5186800345382063,0.25,15
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__aeabi_idiv0,00011e60,Non-Crypto,1,1,2,0,0,0.0,4.0,1,2,0,0,0,0,4,0.0,0.11538461538461539,0,13,0.15384615384615385,0.11538461538461539,0.15384615384615385,0.0,0.0,0.0,False,False,False,False,0,0,0,3,0,4,0.15384615384615385,3.188721875540867,3.038159681645953,0.5,3
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,__udivmoddi4,00011e6c,Non-Crypto,17,26,11,2,2,0.1111111111111111,5.294117647058823,2,15,0,0,0,0,90,0.0,0.04874857765356811,0,567,0.11980166446758451,0.027312004075637615,0.050490196078431374,0.0,0.0,0.021436573577930496,False,False,False,False,0,0,4,44,36,89,0.022397891963109356,6.0411629035215615,4.052680875416419,0.12222222222222222,76
arm,Non-Crypto,clang,o0.elf,prng_ARM_clang_O0.elf,_fini,00011f74,Non-Crypto,1,0,1,0,0,0.0,2.0,2,1,0,0,0,0,2,0.0,0.11764705882352941,0,10,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.23529411764705882,2.75,2.895423870280316,0.5,1
arm,Non-Crypto,clang,o1.elf,prng_ARM_clang_O1.elf,_init,00010490,Non-Crypto,1,1,2,0,0,0.0,3.0,1,2,0,0,0,0,3,0.0,0.10526315789473684,0,10,0.3157894736842105,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.21052631578947367,3.2516291673878226,3.010570934268484,0.6666666666666666,2
arm,Non-Crypto,clang,o1.elf,prng_ARM_clang_O1.elf,_start,00010538,Non-Crypto,1,2,3,0,0,0.06666666666666667,15.0,1,3,0,0,0,0,15,0.0,0.043478260869565216,0,20,0.13043478260869565,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,False,False,False,False,0,0,0,2,0,6,0.10869565217391304,4.644106550888952,2.3524566896399377,0.2,14
arm,Non-Crypto,clang,o1.elf,prng_ARM_clang_O1.elf,call_weak_fn,0001056c,Non-Crypto,3,3,2,0,0,0.0,3.3333333333333335,1,4,0,0,0,0,10,0.0,0.07941176470588235,0,36,0.07254901960784314,0.052941176470588235,0.04607843137254902,0.0,0.0,0.026470588235294117,False,False,False,False,1,0,0,4,2,6,0.07272727272727272,4.665311532225102,4.072738468960348,0.2,7
arm,Non-Crypto,clang,o1.elf,prng_ARM_clang_O1.elf,deregister_tm_clones,00010590,Non-Crypto,4,5,3,0,0,0.15384615384615385,3.25,2,5,0,0,0,0,13,0.0,0.2,0,26,0.1375,0.2,0.05,0.0,0.0,0.0,False,False,False,False,1,0,0,4,0,8,0.02857142857142857,4.209867121904035,3.1399786482181,0.23076923076923078,9
